id_auction,title,present_price,visits_number,end_date
2095596939,Bolivia 2 Bolivianos 1990 P. 202 serie B   UNC,9,29,2026-05-09 11:45:00
2095596942,"BOLIVIA  50 Bolivianos  2016   P. 245  ""serie J""    UNC",13.5,20,2026-05-05 00:00:00
2095596945,BOLIVIA  100 Bolivianos   2018    P. 251  UNC,29,20,2026-05-05 00:00:00
2095596951,BOLIVIA 5.000.000 5000000 Pesos Bolivianos D. 1985 P. 193  UNC,9.5,12,2026-06-01 00:00:00
2095596957,BOLIVIA 10.000 10000 Bolivianos L: 1945 P. 151 VF\AU,24,27,2026-06-01 00:00:00
2095596960,BIAFRA  1 £   1968    P. 2    F \ VF,7,8,2026-05-06 00:00:00
2095596963,BOLIVIA 50 Bolivianos 2018  P. 250    UNC,13.5,19,2026-05-07 01:00:00
2095596966,BHUTAN  1.000  1000  Ngultrum 2008  P. 34     UNC,37,28,2026-05-06 00:00:00
2095596972,BHUTAN  50 Ngultrum 2013   P. 31     UNC,3.5,29,2026-05-06 00:00:00
2095596978,BOLIVIA 10.000 10000 Pesos Bolivianos D. 1982 P. 173 a  UNC,14.5,11,2026-06-01 00:00:00
2095596981,BOLIVIA 1.000.000 1000000 Pesos Bolivianos D. 1985 P. 190  UNC,9.5,15,2026-06-01 00:00:00
2095596987,"BOLIVIA 20 Bolivianos 2016   P. 244  ""serie J""   UNC",7,21,2026-06-01 00:00:00
2095596990,BIAFRA  5 £  1969    P. 6 a   VG,11.5,40,2026-05-06 00:00:00
2095596996,BHUTAN  20 Ngultrum 2013   P. 30     UNC,1.5,18,2026-05-08 00:00:00
2095596999,BHUTAN  100 Ngultrum 2015   P. 32     UNC,4.5,16,2026-05-08 00:00:00
2095597002,"BHUTAN 1  Ngultrum 1981   P.  5  ""sig. Y. Dorji""      UNC",3.5,24,2026-05-07 00:00:00
2095597008,"BHUTAN 1  Ngultrum 1986   P.  12  ""sig. D. Tsering""      UNC",1.5,20,2026-05-06 00:00:00
2095597011,Bhutan 100 Ngultrum 1994  P. 20  little hole on upper margin  but  aUNC,37,55,2026-05-08 11:45:00
2095597014,BERMUDA  5 $  10.6.1997   P. 41    UNC,53.5,18,2026-05-09 00:00:00
2095597017,BHUTAN 10 Ngultrum 2013  P. 29 b  UNC,1.5,25,2026-05-10 00:00:00
2095597020,BHUTAN 100 Ngultrum 2011  P. 35 *COMMEMORATIVE*   UNC,14.5,33,2026-05-09 00:00:00
2095597023,"BHUTAN 5 Ngultrum 1985   P.  14  ""sig. Wangchuck""     UNC",1.5,15,2026-05-05 00:00:00
2095597032,BELIZE  5 $   1.5.2020  P. 67    UNC,12,21,2026-05-07 00:00:00
2095597035,"BERMUDA 20 $  17.1.1997  P. 47  ""commemorative""   *very rare*   VF+",193,42,2026-06-01 00:00:00
2095597038,"BERMUDA 2 $  24.5.2000  P. 50  ""low serial 000882""   UNC",29,25,2026-05-10 00:00:00
2095597041,BERMUDA  2 $  1.10.1988   P. 34   UNC,26,28,2026-06-01 00:00:00
2095597044,BELIZE  50 $  1.12.2016  P. 70    XF++,69,33,2026-05-06 00:00:00
2095597047,BELIZE  50 $  1.2.2009  P. 70  *scarce*    XF+,75,42,2026-05-06 00:00:00
2095597050,BELIZE 20 $   1.1.2012  P. 72  *commemorative*    UNC,37,44,2026-06-01 00:00:00
2095597053,BELIZE 2 $   1.6.1991  P. 52    aUNC,16,23,2026-05-05 00:00:00
2095597068,BELIZE 10 $   1.11.2011  P. 68 d  UNC,20,24,2026-05-07 00:00:00
2095597056,BELIZE 5 $   1.7.2009  P. 67 d  UNC,12,5,2026-05-07 00:00:00
2095597059,"BELGIUM  1.000 1000 Francs  16.6.1961  P. 136  *sig. Magdonelle - Ansiaux*   ""little clip mark on upper left side""  aUNC",89.5,154,2026-05-08 00:00:00
2095597062,BELGIUM  500 Francs 1980   P. 141    *no signature on back*  **scarce**  VF++,56,118,2026-05-10 00:00:00
2095597065,"BELGIUM  20 Francs  1.7.1950   P. 132  ""sig. van Heurck""    AU",23.5,21,2026-05-06 00:00:00
2095597071,"BELGIUM  1.000  1000 Francs  1980 - 1996  P. 144   ""sig. Lakière - Godeaux""     XF",41.5,92,2026-05-06 00:00:00
2095597074,"BELGIUM  1.000  1000 Francs  1980 - 1996  P. 144   ""sig. Bertholomé - Verplaetse""     XF",41.5,99,2026-05-06 00:00:00
2095597089,BELARUS 50 Rubley 2000  P. 25 b  UNC,1.5,6,2026-05-09 00:00:00
2095597092,"BELGIUM 1.000  1000 Francs 22.3.1950  P. 131 ""scarce note""     aUNC",242,130,2026-06-01 00:00:00
2095597095,BELGIUM 100 Francs 1982  P. 142   sig.  Bertholomè - Verplaestse    XF,12.5,28,2026-05-10 00:00:00
2095597098,"BELGIUM  100 Francs 1978  P. 140   ""without signature on back""     VF",12.5,24,2026-06-01 00:00:00
2095597101,BELARUS  5 Rubley  2009 (issued 2016)   P. 37 b   UNC,5.5,18,2026-06-01 00:00:00
2095597104,"BELARUS 100 Rubley 2000  P. 26  a   ""with security thread""   UNC",1.5,24,2026-05-09 00:00:00
2095597107,BELARUS  5.000 5000 rubles 1998   P. 17    UNC    [MM-Money],1.5,11,2026-05-09 00:00:00
2095597116,BELGIUM 100 Francs 1982  P. 142  sig.  Droggenbroek - Verplaetse  XF,11.5,19,2026-05-10 00:00:00
2095597125,BELGIUM 100 Francs 1982  P. 142  sig. Genie - Godeaux    VF+,11.5,19,2026-05-10 00:00:00
2095597134,BELARUS  1.000 1000 rubles 1992   P. 11    UNC    [MM-Money],1.545,16,2026-05-09 00:00:00
2095597110,BELARUS  25 rubles 1992   P. 6    UNC    [MM-Money],1.5,17,2026-05-09 00:00:00
2095597113,BELARUS  10 rubles 1992   P. 5    UNC    [MM-Money],1.5,10,2026-05-09 00:00:00
2095597128,BELARUS  5 rubles 1992   P. 4    UNC    [MM-Money],3.5,17,2026-05-09 00:00:00
2095597131,BELARUS  50 kapeek 1992   P. 1    UNC    [MM-Money],1.5,17,2026-05-09 00:00:00
2095597140,BELARUS 1.000 1000 Rubley 2000 ( 2011 ) P. 28 b  UNC,2.5,19,2026-05-06 00:00:00
2095597146,BELARUS 100 Rubley 2000 ( 2011 ) P. 26 b  UNC,1.5,21,2026-05-06 00:00:00
2095597149,BELARUS 1 Rubel’  2000 P. 21  UNC,1,5,2026-06-01 00:00:00
2095597152,BELARUS 5.000 5000 Rubley 2000 ( 2011 ) P. 29 b  UNC,4.5,20,2026-05-06 00:00:00
2095597158,BELARUS 5 Rubley 2000  P. 22  UNC,1,5,2026-05-06 00:00:00
2095597170,BELARUS 10  Rubley 2000  P. 23  UNC,1,2,2026-05-06 00:00:00
